country;year;category;group;subgroup;consumption
Belgium;2018;Non-Animal;Fruit and Vegetables ;;207
Belgium;2018;Non-Animal;Carbohydrates;Cereals and Grains ;892
Belgium;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;94
Belgium;2019;Non-Animal;Carbohydrates;Sugar ;519
Belgium;2019;Non-Animal;Oils & Fats ;;1005
Belgium;2019;Animal;Meat ;;300
Belgium;2019;Non-Animal;Alcoholic Beverages ;;178
Belgium;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;88
Belgium;2019;Animal;Dairy & Eggs ;;398
Belgium;2019;Non-Animal;Fruit and Vegetables ;;193
Belgium;2019;Non-Animal;Carbohydrates;Cereals and Grains ;914
Belgium;2020;Non-Animal;Alcoholic Beverages ;;188
Belgium;2020;Non-Animal;Carbohydrates;Sugar ;469
Belgium;2020;Non-Animal;Oils & Fats ;;1053
Belgium;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;93
Belgium;2020;Non-Animal;Carbohydrates;Cereals and Grains ;913
Belgium;2020;Animal;Meat ;;296
Belgium;2020;Animal;Dairy & Eggs ;;414
Belgium;2020;Non-Animal;Fruit and Vegetables ;;176
Belgium;2021;Non-Animal;Carbohydrates;Cereals and Grains ;920
Belgium;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;89,5
Belgium;2021;Non-Animal;Fruit and Vegetables ;;182
Belgium;2021;Non-Animal;Oils & Fats ;;983
Belgium;2021;Animal;Meat ;;319
Belgium;2021;Animal;Dairy & Eggs ;;414
Belgium;2021;Non-Animal;Alcoholic Beverages ;;172
Belgium;2021;Non-Animal;Carbohydrates;Sugar ;513
Belgium;2022;Non-Animal;Alcoholic Beverages ;;171
Belgium;2022;Non-Animal;Fruit and Vegetables ;;203
Belgium;2022;Non-Animal;Carbohydrates;Cereals and Grains ;905
Belgium;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;97,5
Belgium;2022;Animal;Dairy & Eggs ;;428
Belgium;2022;Non-Animal;Carbohydrates;Sugar ;496
Belgium;2022;Non-Animal;Oils & Fats ;;988
Belgium;2022;Animal;Meat ;;313
Bulgaria;2014;Non-Animal;Carbohydrates;Cereals and Grains ;1024
Bulgaria;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;50
Bulgaria;2014;Non-Animal;Fruit and Vegetables ;;78
Bulgaria;2014;Non-Animal;Oils & Fats ;;513
Bulgaria;2014;Animal;Meat ;;213
Bulgaria;2014;Animal;Dairy & Eggs ;;290
Bulgaria;2014;Non-Animal;Alcoholic Beverages ;;147
Bulgaria;2014;Non-Animal;Carbohydrates;Sugar ;330
Bulgaria;2015;Non-Animal;Alcoholic Beverages ;;164
Bulgaria;2015;Non-Animal;Fruit and Vegetables ;;93
Bulgaria;2015;Non-Animal;Carbohydrates;Cereals and Grains ;1048
Bulgaria;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;43,5
Bulgaria;2015;Animal;Dairy & Eggs ;;302
Bulgaria;2015;Non-Animal;Carbohydrates;Sugar ;340
Bulgaria;2015;Non-Animal;Oils & Fats ;;488
Bulgaria;2015;Animal;Meat ;;201
