country;year;category;group;subgroup;consumption
Denmark;2017;Non-Animal;Alcoholic Beverages ;;195
Denmark;2017;Non-Animal;Carbohydrates;Sugar ;472
Denmark;2018;Non-Animal;Oils & Fats ;;641
Denmark;2018;Animal;Meat ;;377
Denmark;2018;Animal;Dairy & Eggs ;;398
Denmark;2018;Non-Animal;Carbohydrates;Sugar ;465
Denmark;2018;Non-Animal;Alcoholic Beverages ;;178
Denmark;2018;Non-Animal;Fruit and Vegetables ;;223
Denmark;2018;Non-Animal;Carbohydrates;Cereals and Grains ;852
Denmark;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;72
Denmark;2019;Non-Animal;Carbohydrates;Sugar ;471
Denmark;2019;Non-Animal;Oils & Fats ;;601
Denmark;2019;Animal;Meat ;;426
Denmark;2019;Non-Animal;Alcoholic Beverages ;;172
Denmark;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;56,5
Denmark;2019;Animal;Dairy & Eggs ;;376
Denmark;2019;Non-Animal;Fruit and Vegetables ;;220
Denmark;2019;Non-Animal;Carbohydrates;Cereals and Grains ;928
Denmark;2020;Non-Animal;Alcoholic Beverages ;;173
Denmark;2020;Non-Animal;Carbohydrates;Sugar ;468
Denmark;2020;Non-Animal;Oils & Fats ;;630
Denmark;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58
Denmark;2020;Non-Animal;Carbohydrates;Cereals and Grains ;853
Denmark;2020;Animal;Meat ;;402
Denmark;2020;Animal;Dairy & Eggs ;;398
Denmark;2020;Non-Animal;Fruit and Vegetables ;;216
Denmark;2021;Non-Animal;Carbohydrates;Cereals and Grains ;852
Denmark;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58,5
Denmark;2021;Non-Animal;Fruit and Vegetables ;;203
Denmark;2021;Non-Animal;Oils & Fats ;;623
Denmark;2021;Animal;Meat ;;421
Denmark;2021;Animal;Dairy & Eggs ;;375
Denmark;2021;Non-Animal;Alcoholic Beverages ;;162
Denmark;2021;Non-Animal;Carbohydrates;Sugar ;483
Denmark;2022;Non-Animal;Alcoholic Beverages ;;164
Denmark;2022;Non-Animal;Fruit and Vegetables ;;197
Denmark;2022;Non-Animal;Carbohydrates;Cereals and Grains ;849
Denmark;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;59,5
Denmark;2022;Animal;Dairy & Eggs ;;392
Denmark;2022;Non-Animal;Carbohydrates;Sugar ;483
Denmark;2022;Non-Animal;Oils & Fats ;;621
Denmark;2022;Animal;Meat ;;441
Estonia;2014;Non-Animal;Carbohydrates;Cereals and Grains ;879
Estonia;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;115,5
Estonia;2014;Non-Animal;Fruit and Vegetables ;;143
Estonia;2014;Non-Animal;Oils & Fats ;;317
Estonia;2014;Animal;Meat ;;291
Estonia;2014;Animal;Dairy & Eggs ;;419
Estonia;2014;Non-Animal;Alcoholic Beverages ;;254
Estonia;2014;Non-Animal;Carbohydrates;Sugar ;513
Estonia;2015;Non-Animal;Alcoholic Beverages ;;287
Estonia;2015;Non-Animal;Fruit and Vegetables ;;133
Estonia;2015;Non-Animal;Carbohydrates;Cereals and Grains ;890
Estonia;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;133,5
Estonia;2015;Animal;Dairy & Eggs ;;424
Estonia;2015;Non-Animal;Carbohydrates;Sugar ;470
Estonia;2015;Non-Animal;Oils & Fats ;;318
Estonia;2015;Animal;Meat ;;305
Estonia;2016;Animal;Dairy & Eggs ;;402
Estonia;2016;Non-Animal;Fruit and Vegetables ;;165
Estonia;2016;Non-Animal;Carbohydrates;Cereals and Grains ;899
Estonia;2016;Animal;Meat ;;334
Estonia;2016;Non-Animal;Alcoholic Beverages ;;279
Estonia;2016;Non-Animal;Carbohydrates;Sugar ;466
Estonia;2016;Non-Animal;Oils & Fats ;;288
Estonia;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;132
Estonia;2017;Non-Animal;Carbohydrates;Cereals and Grains ;1052
Estonia;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;100,5
Estonia;2017;Animal;Meat ;;314
Estonia;2017;Animal;Dairy & Eggs ;;422
Estonia;2017;Non-Animal;Fruit and Vegetables ;;166
Estonia;2017;Non-Animal;Oils & Fats ;;304
Estonia;2017;Non-Animal;Alcoholic Beverages ;;309
Estonia;2017;Non-Animal;Carbohydrates;Sugar ;427
Estonia;2018;Non-Animal;Oils & Fats ;;319
Estonia;2018;Animal;Meat ;;316
Estonia;2018;Animal;Dairy & Eggs ;;424
Estonia;2018;Non-Animal;Carbohydrates;Sugar ;450
Estonia;2018;Non-Animal;Alcoholic Beverages ;;303
Estonia;2018;Non-Animal;Fruit and Vegetables ;;175
Estonia;2018;Non-Animal;Carbohydrates;Cereals and Grains ;1076
Estonia;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;89,5
Estonia;2019;Non-Animal;Carbohydrates;Sugar ;422
Estonia;2019;Non-Animal;Oils & Fats ;;285
Estonia;2019;Animal;Meat ;;329
Estonia;2019;Non-Animal;Alcoholic Beverages ;;318
Estonia;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;122,5
Estonia;2019;Animal;Dairy & Eggs ;;398
Estonia;2019;Non-Animal;Fruit and Vegetables ;;170
Estonia;2019;Non-Animal;Carbohydrates;Cereals and Grains ;1036
Estonia;2020;Non-Animal;Alcoholic Beverages ;;329
Estonia;2020;Non-Animal;Carbohydrates;Sugar ;399
Estonia;2020;Non-Animal;Oils & Fats ;;260
Estonia;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;121
Estonia;2020;Non-Animal;Carbohydrates;Cereals and Grains ;1036
Estonia;2020;Animal;Meat ;;318
Estonia;2020;Animal;Dairy & Eggs ;;406
Estonia;2020;Non-Animal;Fruit and Vegetables ;;176
Estonia;2021;Non-Animal;Carbohydrates;Cereals and Grains ;1061
Estonia;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;95
Estonia;2021;Non-Animal;Fruit and Vegetables ;;167
Estonia;2021;Non-Animal;Oils & Fats ;;331
Estonia;2021;Animal;Meat ;;288
Estonia;2021;Animal;Dairy & Eggs ;;427
Estonia;2021;Non-Animal;Alcoholic Beverages ;;397
Estonia;2021;Non-Animal;Carbohydrates;Sugar ;272
Estonia;2022;Non-Animal;Alcoholic Beverages ;;396
Estonia;2022;Non-Animal;Fruit and Vegetables ;;174
Estonia;2022;Non-Animal;Carbohydrates;Cereals and Grains ;1044
Estonia;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;118
Estonia;2022;Animal;Dairy & Eggs ;;459
Estonia;2022;Non-Animal;Carbohydrates;Sugar ;268
Estonia;2022;Non-Animal;Oils & Fats ;;289
Estonia;2022;Animal;Meat ;;276
Finland;2014;Non-Animal;Carbohydrates;Cereals and Grains ;888
Finland;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;74
Finland;2014;Non-Animal;Fruit and Vegetables ;;145
Finland;2014;Non-Animal;Oils & Fats ;;411
Finland;2014;Animal;Meat ;;578
Finland;2014;Animal;Dairy & Eggs ;;459
Finland;2014;Non-Animal;Alcoholic Beverages ;;195
Finland;2014;Non-Animal;Carbohydrates;Sugar ;324
Finland;2015;Non-Animal;Alcoholic Beverages ;;183
Finland;2015;Non-Animal;Fruit and Vegetables ;;140
Finland;2015;Non-Animal;Carbohydrates;Cereals and Grains ;934
Finland;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;72,5
Finland;2015;Animal;Dairy & Eggs ;;460
Finland;2015;Non-Animal;Carbohydrates;Sugar ;316
Finland;2015;Non-Animal;Oils & Fats ;;421
Finland;2015;Animal;Meat ;;579
Finland;2016;Animal;Dairy & Eggs ;;480
Finland;2016;Non-Animal;Fruit and Vegetables ;;151
Finland;2016;Non-Animal;Carbohydrates;Cereals and Grains ;918
Finland;2016;Animal;Meat ;;605
Finland;2016;Non-Animal;Alcoholic Beverages ;;183
Finland;2016;Non-Animal;Carbohydrates;Sugar ;329
Finland;2016;Non-Animal;Oils & Fats ;;409
Finland;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;70,5
Finland;2017;Non-Animal;Carbohydrates;Cereals and Grains ;931
Finland;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;70
Finland;2017;Animal;Meat ;;590
Finland;2017;Animal;Dairy & Eggs ;;499
Finland;2017;Non-Animal;Fruit and Vegetables ;;145
Finland;2017;Non-Animal;Oils & Fats ;;406
Finland;2017;Non-Animal;Alcoholic Beverages ;;170
Finland;2017;Non-Animal;Carbohydrates;Sugar ;285
Finland;2018;Non-Animal;Oils & Fats ;;408
Finland;2018;Animal;Meat ;;585
Finland;2018;Animal;Dairy & Eggs ;;493
Finland;2018;Non-Animal;Carbohydrates;Sugar ;325
Finland;2018;Non-Animal;Alcoholic Beverages ;;167
Finland;2018;Non-Animal;Fruit and Vegetables ;;150
Finland;2018;Non-Animal;Carbohydrates;Cereals and Grains ;900
Finland;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;66,5
Finland;2019;Non-Animal;Carbohydrates;Sugar ;296
Finland;2019;Non-Animal;Oils & Fats ;;411
Finland;2019;Animal;Meat ;;607
Finland;2019;Non-Animal;Alcoholic Beverages ;;166
Finland;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;66
Finland;2019;Animal;Dairy & Eggs ;;500
Finland;2019;Non-Animal;Fruit and Vegetables ;;144
Finland;2019;Non-Animal;Carbohydrates;Cereals and Grains ;946
Finland;2020;Non-Animal;Alcoholic Beverages ;;172
Finland;2020;Non-Animal;Carbohydrates;Sugar ;298
Finland;2020;Non-Animal;Oils & Fats ;;433
Finland;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;66
Finland;2020;Non-Animal;Carbohydrates;Cereals and Grains ;914
Finland;2020;Animal;Meat ;;602
Finland;2020;Animal;Dairy & Eggs ;;529
Finland;2020;Non-Animal;Fruit and Vegetables ;;157
Finland;2021;Non-Animal;Carbohydrates;Cereals and Grains ;943
Finland;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;62
Finland;2021;Non-Animal;Fruit and Vegetables ;;158
Finland;2021;Non-Animal;Oils & Fats ;;422
Finland;2021;Animal;Meat ;;606
Finland;2021;Animal;Dairy & Eggs ;;531
Finland;2021;Non-Animal;Alcoholic Beverages ;;164
Finland;2021;Non-Animal;Carbohydrates;Sugar ;300
Finland;2022;Non-Animal;Alcoholic Beverages ;;164
Finland;2022;Non-Animal;Fruit and Vegetables ;;158
Finland;2022;Non-Animal;Carbohydrates;Cereals and Grains ;948
Finland;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;65
Finland;2022;Animal;Dairy & Eggs ;;545
Finland;2022;Non-Animal;Carbohydrates;Sugar ;304
Finland;2022;Non-Animal;Oils & Fats ;;437
Finland;2022;Animal;Meat ;;599
France;2014;Non-Animal;Carbohydrates;Cereals and Grains ;902
France;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;56
France;2014;Non-Animal;Fruit and Vegetables ;;177
France;2014;Non-Animal;Oils & Fats ;;761
France;2014;Animal;Meat ;;542
France;2014;Animal;Dairy & Eggs ;;420
France;2014;Non-Animal;Alcoholic Beverages ;;168
France;2014;Non-Animal;Carbohydrates;Sugar ;396
France;2015;Non-Animal;Alcoholic Beverages ;;165
France;2015;Non-Animal;Fruit and Vegetables ;;170
France;2015;Non-Animal;Carbohydrates;Cereals and Grains ;920
France;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58,5
France;2015;Animal;Dairy & Eggs ;;426
France;2015;Non-Animal;Carbohydrates;Sugar ;357
France;2015;Non-Animal;Oils & Fats ;;798
France;2015;Animal;Meat ;;500
France;2016;Animal;Dairy & Eggs ;;430
France;2016;Non-Animal;Fruit and Vegetables ;;180
France;2016;Non-Animal;Carbohydrates;Cereals and Grains ;893
France;2016;Animal;Meat ;;483
France;2016;Non-Animal;Alcoholic Beverages ;;165
France;2016;Non-Animal;Carbohydrates;Sugar ;350
France;2016;Non-Animal;Oils & Fats ;;792
France;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58
France;2017;Non-Animal;Carbohydrates;Cereals and Grains ;954
France;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;59,5
France;2017;Animal;Meat ;;552
France;2017;Animal;Dairy & Eggs ;;386
France;2017;Non-Animal;Fruit and Vegetables ;;182
France;2017;Non-Animal;Oils & Fats ;;812
France;2017;Non-Animal;Alcoholic Beverages ;;140
France;2017;Non-Animal;Carbohydrates;Sugar ;343
France;2018;Non-Animal;Oils & Fats ;;795
France;2018;Animal;Meat ;;552
France;2018;Animal;Dairy & Eggs ;;394
France;2018;Non-Animal;Carbohydrates;Sugar ;381
France;2018;Non-Animal;Alcoholic Beverages ;;158
France;2018;Non-Animal;Fruit and Vegetables ;;180
France;2018;Non-Animal;Carbohydrates;Cereals and Grains ;907
France;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;54
France;2019;Non-Animal;Carbohydrates;Sugar ;358
France;2019;Non-Animal;Oils & Fats ;;776
France;2019;Animal;Meat ;;552
France;2019;Non-Animal;Alcoholic Beverages ;;139
France;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58,5
France;2019;Animal;Dairy & Eggs ;;390
France;2019;Non-Animal;Fruit and Vegetables ;;175
France;2019;Non-Animal;Carbohydrates;Cereals and Grains ;972
France;2020;Non-Animal;Alcoholic Beverages ;;156
France;2020;Non-Animal;Carbohydrates;Sugar ;357
France;2020;Non-Animal;Oils & Fats ;;757
France;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;57,5
France;2020;Non-Animal;Carbohydrates;Cereals and Grains ;951
France;2020;Animal;Meat ;;546
France;2020;Animal;Dairy & Eggs ;;396
France;2020;Non-Animal;Fruit and Vegetables ;;176
France;2021;Non-Animal;Carbohydrates;Cereals and Grains ;970
France;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;55,5
France;2021;Non-Animal;Fruit and Vegetables ;;163
France;2021;Non-Animal;Oils & Fats ;;742
France;2021;Animal;Meat ;;538
France;2021;Animal;Dairy & Eggs ;;385
France;2021;Non-Animal;Alcoholic Beverages ;;137
France;2021;Non-Animal;Carbohydrates;Sugar ;361
France;2022;Non-Animal;Alcoholic Beverages ;;130
France;2022;Non-Animal;Fruit and Vegetables ;;175
France;2022;Non-Animal;Carbohydrates;Cereals and Grains ;960
France;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;56
France;2022;Animal;Dairy & Eggs ;;392
France;2022;Non-Animal;Carbohydrates;Sugar ;374
France;2022;Non-Animal;Oils & Fats ;;758
France;2022;Animal;Meat ;;527
Germany;2014;Non-Animal;Carbohydrates;Cereals and Grains ;859
Germany;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;63
Germany;2014;Non-Animal;Fruit and Vegetables ;;172
Germany;2014;Non-Animal;Oils & Fats ;;767
Germany;2014;Animal;Meat ;;382
Germany;2014;Animal;Dairy & Eggs ;;358
Germany;2014;Non-Animal;Alcoholic Beverages ;;247
Germany;2014;Non-Animal;Carbohydrates;Sugar ;496
Germany;2015;Non-Animal;Alcoholic Beverages ;;264
Germany;2015;Non-Animal;Fruit and Vegetables ;;172
Germany;2015;Non-Animal;Carbohydrates;Cereals and Grains ;860
Germany;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;62
Germany;2015;Animal;Dairy & Eggs ;;362
Germany;2015;Non-Animal;Carbohydrates;Sugar ;469
Germany;2015;Non-Animal;Oils & Fats ;;786
Germany;2015;Animal;Meat ;;386
Germany;2016;Animal;Dairy & Eggs ;;376
Germany;2016;Non-Animal;Fruit and Vegetables ;;169
Germany;2016;Non-Animal;Carbohydrates;Cereals and Grains ;874
Germany;2016;Animal;Meat ;;404
Germany;2016;Non-Animal;Alcoholic Beverages ;;259
Germany;2016;Non-Animal;Carbohydrates;Sugar ;447
Germany;2016;Non-Animal;Oils & Fats ;;810
Germany;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;69
Germany;2017;Non-Animal;Carbohydrates;Cereals and Grains ;866
Germany;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;67,5
Germany;2017;Animal;Meat ;;397
Germany;2017;Animal;Dairy & Eggs ;;365
Germany;2017;Non-Animal;Fruit and Vegetables ;;168
Germany;2017;Non-Animal;Oils & Fats ;;812
Germany;2017;Non-Animal;Alcoholic Beverages ;;249
Germany;2017;Non-Animal;Carbohydrates;Sugar ;481
Germany;2018;Non-Animal;Oils & Fats ;;787
Germany;2018;Animal;Meat ;;397
Germany;2018;Animal;Dairy & Eggs ;;388
Germany;2018;Non-Animal;Carbohydrates;Sugar ;466
Germany;2018;Non-Animal;Alcoholic Beverages ;;255
Germany;2018;Non-Animal;Fruit and Vegetables ;;170
Germany;2018;Non-Animal;Carbohydrates;Cereals and Grains ;873
Germany;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;67
Germany;2019;Non-Animal;Carbohydrates;Sugar ;485
Germany;2019;Non-Animal;Oils & Fats ;;795
Germany;2019;Animal;Meat ;;404
Germany;2019;Non-Animal;Alcoholic Beverages ;;232
Germany;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;63
Germany;2019;Animal;Dairy & Eggs ;;380
Germany;2019;Non-Animal;Fruit and Vegetables ;;165
Germany;2019;Non-Animal;Carbohydrates;Cereals and Grains ;876
Germany;2020;Non-Animal;Alcoholic Beverages ;;237
Germany;2020;Non-Animal;Carbohydrates;Sugar ;473
Germany;2020;Non-Animal;Oils & Fats ;;796
Germany;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;69
Germany;2020;Non-Animal;Carbohydrates;Cereals and Grains ;874
Germany;2020;Animal;Meat ;;405
Germany;2020;Animal;Dairy & Eggs ;;384
Germany;2020;Non-Animal;Fruit and Vegetables ;;177
Germany;2021;Non-Animal;Carbohydrates;Cereals and Grains ;861
Germany;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;65,5
Germany;2021;Non-Animal;Fruit and Vegetables ;;178
Germany;2021;Non-Animal;Oils & Fats ;;809
Germany;2021;Animal;Meat ;;397
Germany;2021;Animal;Dairy & Eggs ;;374
Germany;2021;Non-Animal;Alcoholic Beverages ;;243
Germany;2021;Non-Animal;Carbohydrates;Sugar ;461
Germany;2022;Non-Animal;Alcoholic Beverages ;;255
Germany;2022;Non-Animal;Fruit and Vegetables ;;179
Germany;2022;Non-Animal;Carbohydrates;Cereals and Grains ;872
Germany;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;61
Germany;2022;Animal;Dairy & Eggs ;;378
Germany;2022;Non-Animal;Carbohydrates;Sugar ;469
Germany;2022;Non-Animal;Oils & Fats ;;801
Germany;2022;Animal;Meat ;;390
Greece;2014;Non-Animal;Carbohydrates;Cereals and Grains ;984
Greece;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;86
Greece;2014;Non-Animal;Fruit and Vegetables ;;350
Greece;2014;Non-Animal;Oils & Fats ;;793
Greece;2014;Animal;Meat ;;352
Greece;2014;Animal;Dairy & Eggs ;;436
Greece;2014;Non-Animal;Alcoholic Beverages ;;127
Greece;2014;Non-Animal;Carbohydrates;Sugar ;317
Greece;2015;Non-Animal;Alcoholic Beverages ;;147
Greece;2015;Non-Animal;Fruit and Vegetables ;;314
Greece;2015;Non-Animal;Carbohydrates;Cereals and Grains ;926
Greece;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;88
Greece;2015;Animal;Dairy & Eggs ;;452
Greece;2015;Non-Animal;Carbohydrates;Sugar ;268
Greece;2015;Non-Animal;Oils & Fats ;;767
Greece;2015;Animal;Meat ;;361
Greece;2016;Animal;Dairy & Eggs ;;485
Greece;2016;Non-Animal;Fruit and Vegetables ;;325
Greece;2016;Non-Animal;Carbohydrates;Cereals and Grains ;896
Greece;2016;Animal;Meat ;;341
Greece;2016;Non-Animal;Alcoholic Beverages ;;129
Greece;2016;Non-Animal;Carbohydrates;Sugar ;295
Greece;2016;Non-Animal;Oils & Fats ;;766
Greece;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;99
Greece;2017;Non-Animal;Carbohydrates;Cereals and Grains ;941
Greece;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;84
Greece;2017;Animal;Meat ;;344
Greece;2017;Animal;Dairy & Eggs ;;450
Greece;2017;Non-Animal;Fruit and Vegetables ;;298
Greece;2017;Non-Animal;Oils & Fats ;;812
Greece;2017;Non-Animal;Alcoholic Beverages ;;130
Greece;2017;Non-Animal;Carbohydrates;Sugar ;294
Greece;2018;Non-Animal;Oils & Fats ;;823
Greece;2018;Animal;Meat ;;348
Greece;2018;Animal;Dairy & Eggs ;;455
Greece;2018;Non-Animal;Carbohydrates;Sugar ;261
Greece;2018;Non-Animal;Alcoholic Beverages ;;127
Greece;2018;Non-Animal;Fruit and Vegetables ;;315
Greece;2018;Non-Animal;Carbohydrates;Cereals and Grains ;920
Greece;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;88
Greece;2019;Non-Animal;Carbohydrates;Sugar ;264
Greece;2019;Non-Animal;Oils & Fats ;;808
Greece;2019;Animal;Meat ;;341
Greece;2019;Non-Animal;Alcoholic Beverages ;;114
Greece;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;81,5
Greece;2019;Animal;Dairy & Eggs ;;473
Greece;2019;Non-Animal;Fruit and Vegetables ;;285
Greece;2019;Non-Animal;Carbohydrates;Cereals and Grains ;907
Greece;2020;Non-Animal;Alcoholic Beverages ;;100
Greece;2020;Non-Animal;Carbohydrates;Sugar ;260
Greece;2020;Non-Animal;Oils & Fats ;;838
Greece;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;83
Greece;2020;Non-Animal;Carbohydrates;Cereals and Grains ;917
Greece;2020;Animal;Meat ;;341
Greece;2020;Animal;Dairy & Eggs ;;445
Greece;2020;Non-Animal;Fruit and Vegetables ;;293
Greece;2021;Non-Animal;Carbohydrates;Cereals and Grains ;926
Greece;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;88
Greece;2021;Non-Animal;Fruit and Vegetables ;;285
Greece;2021;Non-Animal;Oils & Fats ;;820
Greece;2021;Animal;Meat ;;322
Greece;2021;Animal;Dairy & Eggs ;;428
Greece;2021;Non-Animal;Alcoholic Beverages ;;101
Greece;2021;Non-Animal;Carbohydrates;Sugar ;281
Greece;2022;Non-Animal;Alcoholic Beverages ;;100
Greece;2022;Non-Animal;Fruit and Vegetables ;;285
Greece;2022;Non-Animal;Carbohydrates;Cereals and Grains ;947
Greece;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;89
Greece;2022;Animal;Dairy & Eggs ;;418
Greece;2022;Non-Animal;Carbohydrates;Sugar ;279
Greece;2022;Non-Animal;Oils & Fats ;;800
Greece;2022;Animal;Meat ;;328
Hungary;2014;Non-Animal;Carbohydrates;Cereals and Grains ;923
Hungary;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;68,5
Hungary;2014;Non-Animal;Fruit and Vegetables ;;179
Hungary;2014;Non-Animal;Oils & Fats ;;758
Hungary;2014;Animal;Meat ;;372
Hungary;2014;Animal;Dairy & Eggs ;;289
Hungary;2014;Non-Animal;Alcoholic Beverages ;;217
Hungary;2014;Non-Animal;Carbohydrates;Sugar ;352
Hungary;2015;Non-Animal;Alcoholic Beverages ;;216
Hungary;2015;Non-Animal;Fruit and Vegetables ;;214
Hungary;2015;Non-Animal;Carbohydrates;Cereals and Grains ;892
Hungary;2015;Non-Animal;Carbohydrates;Starchy Roots and pulses ;60,5
Hungary;2015;Animal;Dairy & Eggs ;;293
Hungary;2015;Non-Animal;Carbohydrates;Sugar ;363
Hungary;2015;Non-Animal;Oils & Fats ;;748
Hungary;2015;Animal;Meat ;;374
Hungary;2016;Animal;Dairy & Eggs ;;300
Hungary;2016;Non-Animal;Fruit and Vegetables ;;192
Hungary;2016;Non-Animal;Carbohydrates;Cereals and Grains ;806
Hungary;2016;Animal;Meat ;;375
Hungary;2016;Non-Animal;Alcoholic Beverages ;;217
Hungary;2016;Non-Animal;Carbohydrates;Sugar ;347
Hungary;2016;Non-Animal;Oils & Fats ;;753
Hungary;2016;Non-Animal;Carbohydrates;Starchy Roots and pulses ;64
Hungary;2017;Non-Animal;Carbohydrates;Cereals and Grains ;806
Hungary;2017;Non-Animal;Carbohydrates;Starchy Roots and pulses ;74
Hungary;2017;Animal;Meat ;;361
Hungary;2017;Animal;Dairy & Eggs ;;295
Hungary;2017;Non-Animal;Fruit and Vegetables ;;168
Hungary;2017;Non-Animal;Oils & Fats ;;767
Hungary;2017;Non-Animal;Alcoholic Beverages ;;201
Hungary;2017;Non-Animal;Carbohydrates;Sugar ;356
Hungary;2018;Non-Animal;Oils & Fats ;;749
Hungary;2018;Animal;Meat ;;360
Hungary;2018;Animal;Dairy & Eggs ;;279
Hungary;2018;Non-Animal;Carbohydrates;Sugar ;340
Hungary;2018;Non-Animal;Alcoholic Beverages ;;200
Hungary;2018;Non-Animal;Fruit and Vegetables ;;184
Hungary;2018;Non-Animal;Carbohydrates;Cereals and Grains ;869
Hungary;2018;Non-Animal;Carbohydrates;Starchy Roots and pulses ;58
Hungary;2019;Non-Animal;Carbohydrates;Sugar ;340
Hungary;2019;Non-Animal;Oils & Fats ;;768
Hungary;2019;Animal;Meat ;;337
Hungary;2019;Non-Animal;Alcoholic Beverages ;;187
Hungary;2019;Non-Animal;Carbohydrates;Starchy Roots and pulses ;52,5
Hungary;2019;Animal;Dairy & Eggs ;;280
Hungary;2019;Non-Animal;Fruit and Vegetables ;;138
Hungary;2019;Non-Animal;Carbohydrates;Cereals and Grains ;865
Hungary;2020;Non-Animal;Alcoholic Beverages ;;196
Hungary;2020;Non-Animal;Carbohydrates;Sugar ;348
Hungary;2020;Non-Animal;Oils & Fats ;;753
Hungary;2020;Non-Animal;Carbohydrates;Starchy Roots and pulses ;69,5
Hungary;2020;Non-Animal;Carbohydrates;Cereals and Grains ;817
Hungary;2020;Animal;Meat ;;357
Hungary;2020;Animal;Dairy & Eggs ;;274
Hungary;2020;Non-Animal;Fruit and Vegetables ;;137
Hungary;2021;Non-Animal;Carbohydrates;Cereals and Grains ;813
Hungary;2021;Non-Animal;Carbohydrates;Starchy Roots and pulses ;63
Hungary;2021;Non-Animal;Fruit and Vegetables ;;153
Hungary;2021;Non-Animal;Oils & Fats ;;733
Hungary;2021;Animal;Meat ;;346
Hungary;2021;Animal;Dairy & Eggs ;;273
Hungary;2021;Non-Animal;Alcoholic Beverages ;;192
Hungary;2021;Non-Animal;Carbohydrates;Sugar ;339
Hungary;2022;Non-Animal;Alcoholic Beverages ;;183
Hungary;2022;Non-Animal;Fruit and Vegetables ;;131
Hungary;2022;Non-Animal;Carbohydrates;Cereals and Grains ;846
Hungary;2022;Non-Animal;Carbohydrates;Starchy Roots and pulses ;56,5
Hungary;2022;Animal;Dairy & Eggs ;;265
Hungary;2022;Non-Animal;Carbohydrates;Sugar ;343
Hungary;2022;Non-Animal;Oils & Fats ;;804
Hungary;2022;Animal;Meat ;;314
Iceland;2014;Non-Animal;Carbohydrates;Cereals and Grains ;650
Iceland;2014;Non-Animal;Carbohydrates;Starchy Roots and pulses ;56
Iceland;2014;Non-Animal;Fruit and Vegetables ;;168
Iceland;2014;Non-Animal;Oils & Fats ;;420
Iceland;2014;Animal;Meat ;;690
Iceland;2014;Animal;Dairy & Eggs ;;566
Iceland;2014;Non-Animal;Alcoholic Beverages ;;140
Iceland;2014;Non-Animal;Carbohydrates;Sugar ;437
Iceland;2015;Non-Animal;Alcoholic Beverages ;;141
Iceland;2015;Non-Animal;Fruit and Vegetables ;;189
